Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
HOTV,Hero of the Village,A status effect granted to the player upon defeating a raid.,,,村庄英雄,击败袭击后得到此效果。,,,,,,,,,,,,,,,Héroe de la Aldea,
HS,Honey Slime,Honey and slime blocks,,,蜜绿,蜂蜜块和粘液块。,,,,,,,,,,,,,,,Honey Slime (Bloque de miel y Slime),
,Hopper Line,,,,漏斗链,漏斗组成的，传输物品的传输链。,,,,,,,,,,,,,,,Línea de Hoppers,
,Hostile Mob Switch,,,,敌对生物伪和平/伪和平,通过刻意填充纬度中的怪物上限以达到类似“和平模式”（无怪物生成）的装置。,,,,,,,,,,,,,,,Mobswitch de Mobs Hostiles,
,Hostile Mobs,,,,敌对生物,会试图主动攻击玩家的实体。,,,,,,,,,,,,,,,Mobs Hostiles,
,Hunger level,,,,饥饿值,,,,,,,,,,,,,,,,Nivel de Hambre,
,Hybrid,,,,复合的,,,,,,,,,,,,,,,,Híbrido,
,Ice Highway,,,,冰道,由冰组成的，可以快速运输实体的道路。,,,,,,,,,,,,,,,Autopista de Hielo,
,Instant,,,,即时(瞬时),事件B直接在事件A的调用堆栈中被引发。,,,,,,,,,,,,,,,Instantáneo,
,Instant Wire,Refers to a contraption or wiring that can send signal instantly,,,瞬时线路,指可以瞬时快速传递信号的装置。,,,,,,,,,,,,,,,Cable (Wire) instantáneo,
,Invisible chunks(I),1.12.2,,,隐形区块,,,,,,,,,,,,,,,,Chunks Invisibles,
,Item Drops (aka Drops),,,,掉落物,世界空间中的物品实体。,,,,,,,,,,,,,,,Drops,
,Item Shadowing ,,,,物品分身,,,,,,,,,,,,,,,,,
,Item Sorter,Storage tech term.,,,物品分类,,,,,,,,,,,,,,,,Clasificador de Items,
,Job Site Block (aka Workstation),Any block that a player or villager can use to produce items.,,,（村民）工作站,,,,,,,,,,,,,,,,Mesa de trabajo,
,Layout,,,,架构,方块的有效排列组合*,,,,,,,,,,,,,,,Layout,
,Lazy Link,,,,弱链接,从弱加载的载具中被取出的乘客与载具保持弱链接关系。,,,,,,,,,,,,,,,Linkeo en Lazy,
,Lazy Load,,,,弱加载,该区域的实体不运算，方块行为照常运算。,,,,,,,,,,,,,,,Carga en Lazy,
,Leafstone,Refers to a method of sending signal or update through the state change of leaves.,,,树电,利用树叶的状态改变传递信号的行为。,,,,,,,,,,,,,,,Leafstone (Mecanismos con hojas y troncos),
,Light Suppression ,,,,光照抑制,,,,,,,,,,,,,,,,,
LUD,Liquid Update Detector,"Refers to a device that uses liquids to detect a special set of updates, some of which can be detected with a Block Update Detector, with a Comparator Update Detector or with an observer, but some of which are exclusively detected by LUDs. After detecting the update and triggering, it usually resets the liquid to a state where it can detect an update again.",,,流体更新检测器,使用流体检测更新的装置，如邻居更新，形状更新和比较器更新。,,,,,,,,,,,,,,,Detector de Actualizaciones de Líquidos,
loc,Locational,A contraption is said to be locational when it exhibits different behavior when built in different locations in the world. This is almost always caused by redstone dust updates themselves being locational: the way they notify their neighbors of their updates is not consistent across locations in the world. It is also sometimes caused by the updates sent from removal of slime structure when pushing or pulling the structure with pistons.,,,位置性,一个在不同位置表现不同的装置被称为位置性，常由位置的哈希值影响。该现象在方块实体运算顺序，粉更新顺序，粘液块结构移动顺序等中体现。,,,,,,,,,,,,,,,Locacional,
,MicroTiming,,,,微时序,一个游戏刻内发生的事件的顺序被称为微时序。,,,,,,,,,,,,,,,Microtiming (Timings entre Fases del Tick),
MSPT,Milliseconds Per Tick,"A measurement of how many milliseconds it takes to process each gametick. If a server exceeds 50MSPT in total, then the game will slow down, as there is no longer enough time to process all 20 ticks per second. MSPT is also used as a measure of how performance-intensive a contraption is by seeing how much the MSPT increases by running/loading it.",,,MSPT,“毫秒每刻”用于衡量一游戏刻计算耗时的单位。当MSPT超过50时服务器将无法维持在20TPS。它同被用于衡量一台机器在被加载/运行时可以给服务器添加的负担。*,,,,,,,,,,,,,,,Milisegundos por Tick,
,Mixed,,,,混杂的,,,,,,,,,,,,,,,,Mezclado,
,Momentum,,,,动量*,实体在它运动方向上保持运动的趋势,,,,,,,,,,,,,,,Momento,
,Motion,,,,动量,"实体在它运动方向上，3个轴分别保持的趋势，由一个三维数组[x,y,z]描述。*",,,,,,,,,,,,,,,Movimiento,
,Moving Piston (aka Block 36),,,,移动中的方块,该方块由活塞生成，活塞推动/拉回路径上的方块均被转换为它以播放移动动画和处理动态碰撞箱等。,,,,,,,,,,,,,,,Pistón Moviéndose (B36),
NC,Neighbor Change,,,,方块更新,邻居更新，用于通知邻近方块更具周围的环境进行自身行为检测。,,,,,,,,,,,,,,,Neighbor Change,
,Nether,,,,下界/地狱,一个维度，与主世界的坐标成8倍缩放关系（仅x和z轴）,,,,,,,,,,,,,,,Nether,
,Nether Transportation,,,,地狱交通,位于地狱的交通路线，可以利用和主世界的坐标缩放高效地移动。,,,,,,,,,,,,,,,Transporte en el Nether,
,Nether Tree,Refers to huge fungus.,,,巨型下界菌/地狱菌,,,,,,,,,,,,,,,,Árbol del Nether,
NU/AT,Network Update/Async Task,,,,网络流更新/异步线程/玩家操作更新,执行从玩家收到的网络包提供的操作。,,,,,,,,,,,,,,,Actualización de Red / Tarea Asíncrona,
,Neutral mobs,,,,中立生物,该生物不会主动攻击玩家，除非被玩家伤害。,,,,,,,,,,,,,,,Mobs Neutrales,
NTE,Next Tick Entry(aka Tile Tick),,,,计划刻阶段,游戏刻内的该阶段统一顺序地处理方块计划刻和流体计划刻,,,,,,,,,,,,,,,Siguiente entrada (en la lista de) de Tick,
,Passive mob switch,,,,友好生物伪和平,同怪物伪和平，但针对友好生物。,,,,,,,,,,,,,,,Mobswitch de Mobs Pasivos,
,Passive mobs,,,,友好生物,该生物不会对玩家造成伤害，尽管主动玩家攻击它。,,,,,,,,,,,,,,,Mobs Pasivos,
Peri,Perimeter,,,,空置域,该片区域内的所有自然生成方块/结构均被摧毁。仅剩下人为在基岩层附近铺设的方块层，基岩，或者完全没有。,,,,,,,,,,,,,,,Perímetro,
,Pistonless,Used to tag contraptions that makes no use of pistons.,,,无活塞的,此装置内没有活塞。,,,,,,,,,,,,,,,Sin Pistones,
,Playerless,Adjective. Usually to describe a contraption that does not require player existence to operate.,,,无玩家,此装置无需玩家即可运行。,,,,,,,,,,,,,,,Sin jugadores,
POI,Point Of Interest,,,,兴趣点,一个被专门记录以便快捷高效地搜寻的位置。村民工作站，地狱门方块，避雷针等均携带兴趣点。,,,,,,,,,,,,,,,Punto de Interés,
,Position,,,,坐标,"一个三维数组[x,y,z]。*",,,,,,,,,,,,,,,Posición,
PP,Post Placement (aka Shape Update),,,,形状更新/状态更新,形状更新，用于通知邻近方块更具周围的环境改变自身形状。,,,,,,,,,,,,,,,Post-Colocado,
,Projectile,,,,弹射物/飞行物/投掷物,,,,,,,,,,,,,,,,Proyectil,
,Pulse,Usually refers to a redstone signal turning on and off once.,,,脉冲,红石信号的一次亮灭通常被称为脉冲。,,,,,,,,,,,,,,,Pulso,
,QC Detection,"Tree farming term. Refers to a method of detecting tree growth by QC powering the bottom log and updating a piston below the dirt, which extends when a tree grows, thus activating the farm.",,,QC检测,树场述语，指利用充能树木根部并利用其形成的QC状态检测树苗是否长大。,,,,,,,,,,,,,,,Detección con Cuasiconectividad (QC),
QC,Quasi Connectivity,"The effect of quasi-powering a piston, dropper or dispenser. A good way to visualize when a block is being quasi-powering is to imagine a redstone lamp above the component. If that lamp was to be on in that location, the block is quasi-powered. Quasi-powering usually doesn't update the component being QCed, which results in the component not ""realizing"" it should activate or deactivate until it receives an update. For this reason, QC is often used for Block Update Detector, and people even sometimes say ""BUD powered"" rather than ""quasi powered"".",,,半连接性,指 活塞，发射器，投掷器 除了以自身是否被充能为激活条件外，还会检测自身上方一格是否被充能 的特性。,,,,,,,,,,,,,,,Quasiconectividad,
,Random Tick & Climate (RTC),,,,随机刻和气候,区块刻阶段中随机抽取方块执行随机刻逻辑以及放置雪等天气产物的阶段。,,,,,,,,,,,,,,,Random Ticks y Clima,
,Rates,Usually refers to the speed or amount of item drops of a contraption.,,,效率,常描述产出产物的效率。,,,,,,,,,,,,,,,Producción,
rt,Redstone Tick,,,,红石刻,历史遗留的歧义称呼。曾经的玩家将2游戏刻称为1红石刻。在基岩版中，该词汇形容每间隔1普通游戏刻才出现的，处理红石系统的特殊游戏刻。这个词的使用正在减少。*,,,,,,,,,,,,,,,Redstone Tick,
,Reload Detection/Detector,,,,重载检测/检测器,,,,,,,,,,,,,,,,Detector de Recargas,
RD,Render Distance,,,,视距,客户端渲染距离玩家的区块的最大距离。,,,,,,,,,,,,,,,Distancia de Renderizado,
,Return Rate (aka Efficiency),"Usually refers to the ratio of item collected with to the actual produced item. As an example for blast chambers, it can be written as 99.6% efficiency.",,,回收率,衡量多少产物可被有效地收集。,,,,,,,,,,,,,,,Tasa de retorno,
,Safe,,,,安全的,,,,,,,,,,,,,,,,Seguro,
,Saturation level,,,,饱和度,,,,,,,,,,,,,,,,Nivel de Saturación,
,Scheduled Tick (aka Tile Tick),,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Schedule Tick (Tile Tick),
Schem,Schematic,Litematica mod schematic,,,投影/原理图,一种nbt格式文件，记录一定区间内的方块排列。可被投影模组等读取,,,,,,,,,,,,,,,Schematic (Litematic),
,Seed,,,,种子,常指一个数字，它决定随机数生成的结果。拥有同样种子的随机数生成器会提供相同的结果。,,,,,,,,,,,,,,,Semilla,
,Self-Returning,,,,自返回,,,,,,,,,,,,,,,,Auto-Retorno,
Self-Sus,Self-Sustaining,Adjective. Usually used to describe farms that produces bone meal (usually by composting excess foliage) to sustain the bone meal consumption.,,,自循环,,,,,,,,,,,,,,,,Auto-Sostenible,
,Shape Update(aka Post Placement),,,,形状更新/状态更新,,,,,,,,,,,,,,,,Shape Update,
,Side Acceleration,,,,侧弹,,,,,,,,,,,,,,,,Aceleración lateral,
SS,Signal Strength,,,,信号强度,,,,,,,,,,,,,,,,Signal Strength,
SSI,Signal Strength Isolated,,,,信号隔离,,,,,,,,,,,,,,,,Signal Strength Aislada,
,Simulation distance,,,,模拟距离,,,,,,,,,,,,,,,,Distancia de Simulado,
,Size/Dimension,,,,体积,,,,,,,,,,,,,,,,Tamaño/Dimensiones,
,Skeleton,,,,骷髅/小白,,,,,,,,,,,,,,,,Esqueleto,
,Slice,A repeatable (preferably tileable ) component within a system.,,,单片,,,,,,,,,,,,,,,,Slice,
,Slime-less,Adjective. Usually refers to the absence of slime ball and slime blocks of a contraption.,,,无粘,,,,,,,,,,,,,,,,Sin Bloques de Slime,
,Slimestone,Flying machine related technology.,,,绿萌,,,,,,,,,,,,,,,,Slimestone,
,Smart Piston,Usually referred to a piston that automatically extends when a block is placed in front of it,,,自行活塞,一般指当面前有方块被放置就会自动伸出的活塞,,,,,,,,,,,,,,,Piston Inteligente,
,Smooth Wall,,,,平墙,,,,,,,,,,,,,,,,Pared Plana,
,Solid State,"Used to tag a contraption that has no moving parts or, more loosely, that has no pistons spitting blocks, or other forms of Toggle state. This term is also sometimes interchangeably used with Pistonless, although you can have a solid state contraption (in the loose way) with pistons by having them never spit out the block, i.e. powering them with long pulses only.",,,静态结构*,,,,,,,,,,,,,,,,Estado Sólido,
,Sorter,,,,分类器,,,,,,,,,,,,,,,,Clasificador,
,Spawning Chamber,,,,生成室,,,,,,,,,,,,,,,,Cámara de Spawneo,
,Spawning Potential,,,,刷怪势能/生成势,,,,,,,,,,,,,,,,Potencial de Spawneo,
,Splitter,,,,分流,,,,,,,,,,,,,,,,Divisor,
,Stack,"Refers to a pile of entities, such as items or mobs",,,堆,,,,,,,,,,,,,,,,Stack,
ST,Storage Tech,"Storage Technology, usually referred to item sorting and storage systems",,,储电/储存电路,,,,,,,,,,,,,,,,Storage Tech (Tecnologías de Almacenes),
,Sub Chunk,,,,子区块,,,,,,,,,,,,,,,,Sub Chunk,
,Sync,,,,同步,,,,,,,,,,,,,,,,Síncrono,
,Terrain Height,,,,地形高度,,,,,,,,,,,,,,,,Altura del Terreno,
t,Tick (aka Game Tick),"Minecraft iteratively runs its processing code in a loop. One cycle of this loop is called a Tick or Gametick (gt). Gameticks are also used as the default measurement of time while working with redstone. The game attempts to run 20 gameticks a second (20tps), but will fail to do so and slow down the game if the server is lagging (>50mspt). ",,,游戏刻,同游戏刻（GameTick）,,,,,,,,,,,,,,,Tick,
TPS,Ticks Per Second,"A measurement of how many gameticks are happening each second. The game normally operates at 20TPS, but if MSPT exceeds 50ms then the game will start to slow down. Mods such as Carpet Mod are able to stop, slow down, or speed up the tick speed of a server, which can be useful for testing.",,,TPS,游戏每秒执行的游戏刻的数量。,,,,,,,,,,,,,,,Ticks por Segundo,
TE,Tile Entity (aka Block Entity),,,,方块实体,同BlockEntity,,,,,,,,,,,,,,,Tile Entity,
TES,Tile Entity Swap ,,,,方块实体替换,,,,,,,,,,,,,,,,,
TEUD,Tile Entity Update Detector (aka Comparator Update Detector),"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,方块实体更新检测器,,,,,,,,,,,,,,,,Detector de Updates de Tile Entities (Detector de Updates de Comparadores),
TT,Tile Tick (aka Block Tick),,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Tile Tick,
TTP,Tile Tick Priority,,,,计划刻优先级,,,,,,,,,,,,,,,,Prioridad de Tile Ticks,
,Tileable,,,,可堆叠/拼接的,,,,,,,,,,,,,,,,Tileable,
,TNT Duping,,,,TNT复制,,,,,,,,,,,,,,,,Duplicación de TNT,
,TNT Looting,,,,TNT掠夺,,,,,,,,,,,,,,,,Looting con TNT,
,Up Acceleration,,,,上弹,,,,,,,,,,,,,,,,Aceleración hacia arriba,
,Update Order,,,,更新顺序,,,,,,,,,,,,,,,,Orden de Updates,
,Village (V),,,,村庄运算,,,,,,,,,,,,,,,,Aldea,
,Void Trading,"A method that allowed players to trade infinitely by unloading a chunk where a villager is located while its trading window is open, and then making the trade while the villager isn't rendered.",,,虚空交易,,,,,,,,,,,,,,,,Void Trading,
,Wallstone,Refers to a method of sending signal or update through the shape change of walls.,,,墙电,,,,,,,,,,,,,,,,Wallstone,
,Water stream,,,,水道,,,,,,,,,,,,,,,,Corriente de agua,
,Wiring,,,,布线/线路,,,,,,,,,,,,,,,,Cableado (Wiring),
Wiske,Wither Skeleton,,,,凋灵骷髅,,,,,,,,,,,,,,,,Esqueleto Wither,
,Workstation (aka Job Site Block),Any block that a player or villager can use to produce items.,,,（村民）工作站,,,,,,,,,,,,,,,,Mesa de trabajo,
WDL,World Download,,,,存档,,,,,,,,,,,,,,,,Descaga de mundo,
WTU,World Time Update,,,,世界时间更新,,,,,,,,,,,,,,,,Actualización de World Time,
,X Core,"Usually refers to a contraption with X amount of cores, such as dual-core, tri-core etc.",,,X 核,,,,,,,,,,,,,,,,X Core,
Xt,X tick,X amount of game ticks.,,,X t,,,,,,,,,,,,,,,,X tick,
XwABt,X-Wide AB Tileable,"An extension of X-Wide tileable, but where a solution has been provided by the author on how to put 2 Slices of the same system next to each other, by moving/editing some components within the system. The capital letters ( AB, or ABC, or ABCD, ... ) annotate how the slices are tiled, and how many versions of the slice exist to achieve a result.",,,X宽AB堆叠,,,,,,,,,,,,,,,,"X de Ancho, AB Tileable",
Xwt,X-Wide Tileable,"Annotates the width of a slice, and whether or not you can build them right next to each other. There are systems that are 1 wide, but you can't put 2 next to each other due to Crosstalk, so they don't get this annotation. Sometimes they are X-Wide AB Tileable instead.",,,X宽堆叠,,,,,,,,,,,,,,,,"X de Ancho, Tileable",
